X,Y,fid,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,field_51,field_52,field_53,icon_url
-78.4247,-1.3956,"43","2800223467",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS870773018,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Baños de Agua Santa,Tungurahua,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-1.3956,-78.4247,,,,,,,2016/10/12 00:00:00,"12","10","2016","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS870773018,,,,CC_BY_4_0,,obsr650068,,,2023-01-10T20:11:47.878Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-80.94171,-2.246064,"44","2799593380",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS860075437,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Salinas--Lagunas de Ecuasal,Santa Elena,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-2.246064,-80.94171,,,,,,,1997/04/14 00:00:00,"14","4","1997","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS860075437,,,,CC_BY_4_0,,obsr400621,,,2023-01-10T20:11:23.282Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.31576,-0.467084,"45","2793290670",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS801940776,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Reserva Antisana, provincia de Pichincha (flujo de lava, mirador del cóndor, etc.)",Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.467084,-78.31576,,,,,,,2019/09/04 00:00:00,"4","9","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS801940776,,,,CC_BY_4_0,,obsr826886,,,2023-01-10T20:33:09.508Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-77.89182,-0.597864,"46","2787976104",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS869790471,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Yanayacu Biological Station,Napo,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.597864,-77.89182,,,,,,,2008/09/21 00:00:00,"21","9","2008","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS869790471,,,,CC_BY_4_0,,obsr1314091,,,2023-01-10T20:11:44.411Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.72075,-0.006943,"47","2786425666",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS811706156,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Balcón Tumpiki,Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.006943,-78.72075,,,,,,,2019/09/18 00:00:00,"18","9","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS811706156,,,,CC_BY_4_0,,obsr395059,,,2023-01-10T20:09:47.622Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-78.98913,-2.912182,"48","2776887537",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS817980659,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Cuenca--Parque El Paraiso,Azuay,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-2.912182,-78.98913,,,,,,,2019/10/16 00:00:00,"16","10","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS817980659,,,,CC_BY_4_0,,obsr1173946,,,2023-01-10T20:18:42.352Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-79.7793,-2.2222,"49","2773884161",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS870678159,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Duran,Guayas,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-2.2222,-79.7793,,,,,,,2011/04/04 00:00:00,"4","4","2011","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS870678159,,,,CC_BY_4_0,,obsr162833,,,2023-01-10T20:34:06.507Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-78.46959,-0.17179,"50","2766539469",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS810705757,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Jardines del Batan, Quito",Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.17179,-78.46959,,,,,,,2019/09/28 00:00:00,"28","9","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS810705757,,,,CC_BY_4_0,,obsr162833,,,2023-01-10T20:33:15.920Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.48579,-0.186515,"51","2764725905",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS810096681,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.186515,-78.48579,,,,,,,2019/09/27 00:00:00,"27","9","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS810096681,,,,CC_BY_4_0,,obsr162833,,,2023-01-10T20:09:45.219Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-79.17375,-4.116708,"52","275327159",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS76616248,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,PN Podocarpus--Cajanuma,Loja,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-4.116708,-79.17375,,,,,,,2009/09/24 00:00:00,"24","9","2009","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS76616248,,,,CC_BY_4_0,,obsr57317,,,2023-01-10T20:29:26.148Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
