X,Y,fid,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,field_51,field_52,field_53,field_54,field_55,field_56,field_57,icon_url
-78.48015,-0.680038,"176",2054582645,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS501284210,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"15",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2017/05/17 00:00:00.000,"17","5","2017","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS501284210,,,,CC_BY_4_0,,obsr653592,,,2022-11-24T21:04:20.524Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"177",2052629454,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS498668976,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"5",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2017/05/13 00:00:00.000,"13","5","2017","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS498668976,,,,CC_BY_4_0,,obsr648630,,,2022-11-24T20:49:42.358Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.378914,-0.656912,"178",2046550400,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS476436412,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,"EC-Pichincha-Mejia-Parque Nacional Cotopaxi - -0,6569x-78,3789",Pichincha,PRESENT,"10",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.656912,-78.378914,,,,,,,2017/03/18 00:00:00.000,"18","3","2017","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS476436412,,,,CC_BY_4_0,,obsr809844,,,2022-11-24T21:05:26.202Z,,,,,,,,,,./0.png
-78.48015,-0.680038,"179",2040497895,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS459587900,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"15",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2017/01/22 00:00:00.000,"22","1","2017","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS459587900,,,,CC_BY_4_0,,obsr411046,,,2022-11-24T20:47:06.721Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.466667,-0.616667,"180",2005292227,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20217934,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,Pichincha,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.616667,-78.466667,2169,,,,,,2018/12/29 10:40:00.000,"29","12","2018","2498068","2498065",HUMAN_OBSERVATION,iNaturalist,Observations,"20217934",,Chloe and Trevor Van Loon,2019-02-09T04:40:20,CC_BY_NC_4_0,Chloe and Trevor Van Loon,Chloe and Trevor Van Loon,,,2023-01-08T06:51:26.720Z,StillImage,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"181",1794623007,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS548374710,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"10",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2015/08/05 00:00:00.000,"5","8","2015","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS548374710,,,,CC_BY_4_0,,obsr966002,,,2022-11-24T20:47:31.318Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"182",1792628724,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS534280820,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"20",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2007/06/26 00:00:00.000,"26","6","2007","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS534280820,,,,CC_BY_4_0,,obsr960031,,,2022-11-24T20:46:48.241Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"183",1791658867,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS525580442,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2004/01/24 00:00:00.000,"24","1","2004","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS525580442,,,,CC_BY_4_0,,obsr252111,,,2022-11-24T21:12:25.482Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"184",1791254948,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS522080806,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2009/05/14 00:00:00.000,"14","5","2009","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS522080806,,,,CC_BY_4_0,,obsr224249,,,2022-11-24T20:47:32.188Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"185",1790277007,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAMERICA:OBS514284441,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"2",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,1986/08/10 00:00:00.000,"10","8","1986","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD_CAMERICA,OBS514284441,,,,CC_BY_4_0,,obsr38671,,,2022-11-24T21:05:29.657Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"186",1789575611,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS507493127,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2006/03/02 00:00:00.000,"2","3","2006","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS507493127,,,,CC_BY_4_0,,obsr309564,,,2022-11-24T20:46:13.309Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"187",1789371074,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS506855569,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,1993/09/13 00:00:00.000,"13","9","1993","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS506855569,,,,CC_BY_4_0,,obsr141555,,,2022-11-24T21:03:44.193Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"188",1788054765,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS490210101,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2007/07/17 00:00:00.000,"17","7","2007","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS490210101,,,,CC_BY_4_0,,obsr275452,,,2022-11-24T21:05:02.490Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"189",1787491783,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS483341800,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,1998/05/19 00:00:00.000,"19","5","1998","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS483341800,,,,CC_BY_4_0,,obsr149627,,,2022-11-24T21:07:36.014Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"190",1786802040,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS475090015,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2011/12/06 00:00:00.000,"6","12","2011","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS475090015,,,,CC_BY_4_0,,obsr889621,,,2022-11-24T21:10:18.098Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"191",1783836921,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS461232032,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2002/07/03 00:00:00.000,"3","7","2002","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS461232032,,,,CC_BY_4_0,,obsr842480,,,2022-11-24T21:13:41.242Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.47706,-0.68148,"192",1783043446,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS456724177,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,"EC-Provincia de Cotopaxi - -0,655x-78,469 - 12/1/2017 22:02",Cotopaxi,PRESENT,"3",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.68148,-78.47706,,,,,,,2016/12/01 00:00:00.000,"1","12","2016","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS456724177,,,,CC_BY_4_0,,obsr648630,,,2022-11-24T21:06:35.375Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"193",1778235537,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS448581598,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2007/05/25 00:00:00.000,"25","5","2007","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS448581598,,,,CC_BY_4_0,,obsr341460,,,2022-11-24T21:12:21.491Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.48015,-0.680038,"194",1777642683,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS447712826,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,PN Cotopaxi--general area,Cotopaxi,PRESENT,"2",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.680038,-78.48015,,,,,,,2007/05/25 00:00:00.000,"25","5","2007","2498068","2498065",HUMAN_OBSERVATION,CLO,EBIRD,OBS447712826,,,,CC_BY_4_0,,obsr274633,,,2022-11-24T21:02:52.853Z,,COORDINATE_ROUNDED,,,,,,,,./0.png
